conversation_id,start,end,n_regions,duration,start_hms,end_hms
1,17.8,209.0,6,191.2,00:17.800,03:29.000
2,216.1,352.8,6,136.70000000000002,03:36.100,05:52.800
3,361.8,389.4,4,27.599999999999966,06:01.800,06:29.400
4,397.8,413.9,2,16.099999999999966,06:37.800,06:53.900
5,424.6,443.1,3,18.5,07:04.600,07:23.100
6,449.0,461.1,3,12.100000000000023,07:29.000,07:41.100
7,529.2,570.7,3,41.5,08:49.200,09:30.700
8,577.3,623.7,3,46.40000000000009,09:37.300,10:23.700
9,630.7,645.7,2,15.0,10:30.700,10:45.700
10,654.5,665.2,1,10.700000000000045,10:54.500,11:05.200
11,688.4,693.3,1,4.899999999999977,11:28.400,11:33.300
12,739.3,740.9,1,1.6000000000000227,12:19.300,12:20.900
13,752.0,777.8,4,25.799999999999955,12:32.000,12:57.800
14,787.7,819.1,2,31.399999999999977,13:07.700,13:39.100
15,826.8,829.0,1,2.2000000000000455,13:46.800,13:49.000
16,844.5,849.4,1,4.899999999999977,14:04.500,14:09.400
17,856.9,868.3,1,11.399999999999977,14:16.900,14:28.300
18,882.0,903.8,3,21.799999999999955,14:42.000,15:03.800
19,919.0,921.7,1,2.7000000000000455,15:19.000,15:21.700
