conversation_id,start,end,n_regions,duration,start_hms,end_hms
1,0.0,47.54,3,47.54,00:00.000,00:47.540
2,56.57,64.37,1,7.800000000000004,00:56.570,01:04.370
3,72.69,77.46,1,4.769999999999996,01:12.690,01:17.460
4,84.56,103.12,2,18.560000000000002,01:24.560,01:43.120
5,111.59,127.15,3,15.560000000000002,01:51.590,02:07.150
6,132.52,140.38,1,7.859999999999985,02:12.520,02:20.380
7,148.4,206.24,8,57.84,02:28.400,03:26.240
8,211.25,213.05,1,1.8000000000000114,03:31.250,03:33.050
9,218.88,220.5,1,1.6200000000000045,03:38.880,03:40.500
10,227.09,246.4,3,19.310000000000002,03:47.090,04:06.400
11,253.62,255.64,1,2.019999999999982,04:13.620,04:15.640
12,280.71,282.56,1,1.8500000000000227,04:40.710,04:42.560
13,288.17,306.77,3,18.599999999999966,04:48.170,05:06.770
14,320.65,324.79,1,4.140000000000043,05:20.650,05:24.790
15,341.81,343.9,1,2.089999999999975,05:41.810,05:43.900
16,349.2,362.49,2,13.29000000000002,05:49.200,06:02.490
