asr_segment_id,start,end,duration,text,speaker,language,start_hms,end_hms
1,0.031,26.103,26.072000000000003,सुरज अले सर अरके इंकड़ा ना कडा लिए दे,,kn,00:00.031,00:26.103
2,27.098,44.159,17.061,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,00:27.098,00:44.159
3,45.323,65.928,20.604999999999997,रूपा मैंगो ब्रावावावावावावावावावावा,,kn,00:45.323,01:05.928
4,73.555,94.48,20.924999999999997,ಸಿಸಿ ಸಿಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,01:13.555,01:34.480
5,94.48,120.451,25.97099999999999,ಮಾರಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿ,,kn,01:34.480,02:00.451
6,122.527,137.09,14.563000000000002,ಸಾರಿನಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ,,kn,02:02.527,02:17.090
7,140.566,170.553,29.986999999999995,ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ,,kn,02:20.566,02:50.553
8,170.553,199.949,29.396000000000015,अप्रु दिस्कून शिक्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�,,kn,02:50.553,03:19.949
9,207.239,231.455,24.216000000000008,अगर अगर अगर अगर अगर अगर अगर,,kn,03:27.239,03:51.455
10,238.272,268.023,29.751000000000033,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,03:58.272,04:28.023
11,268.023,291.496,23.472999999999956,ಸಾರಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿನಿ,,kn,04:28.023,04:51.496
12,293.133,321.567,28.434000000000026,ಸಿಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,04:53.133,05:21.567
