asr_segment_id,start,end,duration,text,speaker,language,start_hms,end_hms
1,0.031,20.737,20.706,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,00:00.031,00:20.737
2,21.327,47.99,26.663,ಸಾರಿನಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾ,,kn,00:21.327,00:47.990
3,49.913,77.774,27.861000000000004,ಸಿರಿ ಸಿರಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,00:49.913,01:17.774
4,84.035,105.753,21.718000000000004,ಸಾರಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,01:24.035,01:45.753
5,110.528,130.677,20.148999999999987,ಸಿಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,01:50.528,02:10.677
6,133.951,146.894,12.943000000000012,ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ,,kn,02:13.951,02:26.894
7,148.379,173.742,25.363,ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ,,kn,02:28.379,02:53.742
8,181.673,205.484,23.811000000000007,ಮಾರಿನಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,03:01.673,03:25.484
9,208.302,237.057,28.754999999999995,ಸಾರಿನಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿದಿ,,kn,03:28.302,03:57.057
10,237.631,264.513,26.881999999999977,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,03:57.631,04:24.513
11,266.639,291.597,24.95799999999997,"शिवू, दूपता कोड़ा जा. येन किष्यो? केलिगा तोर्स पास्थ लोग. मामित तोर्य. ना आक तीनी नुकुत्कोली. अर्स अर्नु करद्भिटी लेने.",,kn,04:26.639,04:51.597
12,293.133,314.952,21.819000000000017,ಸಾರಿನಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ,,kn,04:53.133,05:14.952
13,320.622,345.715,25.09299999999996,ಇರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,05:20.622,05:45.715
14,350.221,362.472,12.250999999999976,ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,05:50.221,06:02.472
